Dataset,Fold,Model,Versao,MSE,MAE
a3,5,SVR,Hardness-RO,39.43700855859303,3.9058093043035673
a3,5,NNET,Original,122244.90439402123,162.21288280764333
a3,5,NNET,RO,205531.96974000524,219.7338598302485
a3,5,NNET,Hardness-RO,125477.53329200248,165.93299173750734
a3,5,XGB,Original,78.82732590785015,5.506724788592411
a3,5,XGB,RO,60.92074032030643,5.727382644934532
a3,5,XGB,Hardness-RO,45.96449941159333,4.584166529545418
a3,5,RF,Original,45.81172628205126,4.3263846153846135
a3,5,RF,RO,65.44248032231445,6.231600671350376
a3,5,RF,Hardness-RO,34.623457568125616,4.124866953086352
a3,5,BAGGING,Original,74.56359230769232,5.706410256410257
a3,5,BAGGING,RO,83.8214982564939,6.737865530509486
a3,5,BAGGING,Hardness-RO,33.835311291860194,3.9404851904535576
a7,1,SVR,Original,43.099035904799095,2.9126950893845596
a7,1,SVR,RO,38.42495906626988,4.591218011088836
a7,1,SVR,Hardness-RO,41.830469737295815,3.1016146548266086
a7,1,NNET,Original,3511102.8602076396,626.8560206976329
a7,1,NNET,RO,26786751.56207781,1859.7441634904294
a7,1,NNET,Hardness-RO,5996369.6700189505,763.5488345646821
a7,1,XGB,Original,18.525240074364316,2.536148955971002
a7,1,XGB,RO,41.076272407625325,4.247532047946007
a7,1,XGB,Hardness-RO,40.56031435427186,3.3566277981270103
a7,1,RF,Original,27.803802774999998,3.105625
a7,1,RF,RO,43.75335930366299,4.710467894920094
a7,1,RF,Hardness-RO,35.171783025,3.448975
a7,1,BAGGING,Original,29.816605,3.1705
a7,1,BAGGING,RO,52.32717886328702,5.068238344916105
a7,1,BAGGING,Hardness-RO,31.6533075,3.2807500000000003
a7,2,SVR,Original,11.27165480351918,2.121128699444288
a7,2,SVR,RO,9.539445998268153,2.370932425259862
a7,2,SVR,Hardness-RO,8.849566124334043,2.003593348825016
a7,2,NNET,Original,160251.30439636303,162.1706378708094
a7,2,NNET,RO,303522.18949846213,209.69322446530683
a7,2,NNET,Hardness-RO,113675.54410046712,154.86858344476997
a7,2,XGB,Original,31.650297792379867,3.3945890206284823
a7,2,XGB,RO,46.1318752656664,4.775477463714778
a7,2,XGB,Hardness-RO,58.015154849292365,4.143807534649968
a7,2,RF,Original,24.207194225000002,3.4074750000000003
a7,2,RF,RO,39.3819941835549,4.368582691086312
a7,2,RF,Hardness-RO,31.75091519999996,3.525299999999999
a7,2,BAGGING,Original,25.1576325,3.4692499999999997
a7,2,BAGGING,RO,38.357974096089436,4.076095525991164
a7,2,BAGGING,Hardness-RO,29.877342499999997,3.62425
a7,3,SVR,Original,37.471652247532745,2.415519693687839
