Dataset,Fold,Model,Versao,MSE,MAE
a7,2,SVR,Hardness-RO,9.737668180403725,2.066050394337688
a7,2,NNET,Original,160251.30439636303,162.1706378708094
a7,2,NNET,RO,205599.6474671843,257.5819031450764
a7,2,NNET,Hardness-RO,413025.0587682885,186.2136391315825
a7,2,XGB,Original,31.650297792379867,3.3945890206284823
a7,2,XGB,RO,36.21909654505871,3.5150716447108428
a7,2,XGB,Hardness-RO,57.42766086905264,4.406537782214582
a7,2,RF,Original,24.207194225000002,3.4074750000000003
a7,2,RF,RO,33.19711879999996,3.803299999999999
a7,2,RF,Hardness-RO,24.63020842499999,3.1993249999999995
a7,2,BAGGING,Original,25.1576325,3.4692499999999997
a7,2,BAGGING,RO,46.2501475,4.26825
a7,2,BAGGING,Hardness-RO,29.542712499999993,3.62675
a7,3,SVR,Original,37.471652247532745,2.415519693687839
a7,3,SVR,RO,36.45412005261085,2.8382771726512424
a7,3,SVR,Hardness-RO,37.86585248822664,2.510094768816863
a7,3,NNET,Original,456139.717095751,201.04175994406296
a7,3,NNET,RO,518663.65284775,274.93884597487505
a7,3,NNET,Hardness-RO,605858.4680971949,261.4385455616015
a7,3,XGB,Original,10.675776862785487,2.3226605066657067
a7,3,XGB,RO,10.84731558932851,2.2972262327559294
a7,3,XGB,Hardness-RO,9.707254567472024,2.002325791604817
a7,3,RF,Original,20.328781674999988,2.550375
a7,3,RF,RO,11.127163325000012,2.3941250000000003
a7,3,RF,Hardness-RO,17.546574125,2.452975
a7,3,BAGGING,Original,24.797114999999998,2.5375
a7,3,BAGGING,RO,12.66456,2.531
a7,3,BAGGING,Hardness-RO,32.7374725,2.98825
a7,4,SVR,Original,49.503122514816944,3.060683679236694
a7,4,SVR,RO,45.69890116395632,3.5290446712500008
a7,4,SVR,Hardness-RO,46.75166969421713,3.1012661374268427
a7,4,NNET,Original,398593.02793106355,220.4307249811178
a7,4,NNET,RO,493504.1157568101,318.6466566666008
a7,4,NNET,Hardness-RO,810361.9965263992,288.8345185926509
a7,4,XGB,Original,44.56270399750666,3.5726634539854834
a7,4,XGB,RO,55.32951497018447,4.203021788826356
a7,4,XGB,Hardness-RO,49.21133791244457,3.945016435400034
a7,4,RF,Original,44.450327794871804,3.692
a7,4,RF,RO,50.50976538461539,4.326051282051282
a7,4,RF,Hardness-RO,44.155529820512825,3.580897435897436
a7,4,BAGGING,Original,49.6675,4.172564102564103
a7,4,BAGGING,RO,54.68265641025642,4.3471794871794875
a7,4,BAGGING,Hardness-RO,44.094089743589734,3.739230769230769
a7,5,SVR,Original,11.249800439155017,1.6223259038943532
a7,5,SVR,RO,11.293294005772408,2.0324439837893022
a7,5,SVR,Hardness-RO,11.224692258252668,1.7889533657269028
a7,5,NNET,Original,99452.98772736127,148.4932300991592
a7,5,NNET,RO,117035.01966038396,185.08689447603916
a7,5,NNET,Hardness-RO,74567.31048264747,149.38563027618846
a7,5,XGB,Original,48.85389606834686,3.41436707373613
a7,5,XGB,RO,50.35864682344939,3.607133737550332
a7,5,XGB,Hardness-RO,50.59272837736903,3.4992616543020962
a7,5,RF,Original,26.71096994871795,3.1776923076923076
a7,5,RF,RO,43.58594666666663,3.831025641025641
a7,5,RF,Hardness-RO,28.60129930769229,3.0901282051282046
a7,5,BAGGING,Original,35.95215384615384,3.7
a7,5,BAGGING,RO,38.66217692307693,3.611538461538462
a7,5,BAGGING,Hardness-RO,33.34054102564103,3.2648717948717954
abalone,1,SVR,Original,8.056572978804509,1.8862044968898086
abalone,1,SVR,RO,8.292319698549502,2.0373238071235487
abalone,1,SVR,Hardness-RO,8.045559671282614,1.889702261538511
abalone,1,NNET,Original,9.103509396310313,2.2844850971646835
abalone,1,NNET,RO,10.595623585040785,2.4177787966086046
abalone,1,NNET,Hardness-RO,9.16604173874895,2.2186908900355133
abalone,1,XGB,Original,6.262310028076172,1.8009830713272095
abalone,1,XGB,RO,6.20341682434082,1.7908234596252441
abalone,1,XGB,Hardness-RO,6.050747394561768,1.7466036081314087
abalone,1,RF,Original,5.811594736842106,1.72311004784689
abalone,1,RF,RO,5.86457990430622,1.7512200956937798
abalone,1,RF,Hardness-RO,5.706784449760766,1.6785406698564593
abalone,1,BAGGING,Original,6.579473684210527,1.8227272727272728
abalone,1,BAGGING,RO,6.528708133971292,1.8373205741626795
abalone,1,BAGGING,Hardness-RO,6.323193779904307,1.7809808612440192
abalone,2,SVR,Original,6.2942255413058055,1.7546391768595548
abalone,2,SVR,RO,6.888305880666888,1.9469702463664293
abalone,2,SVR,Hardness-RO,6.3909363892754,1.7697200766091048
abalone,2,NNET,Original,11.373850213580477,2.4291231490131575
abalone,2,NNET,RO,16.60505069195013,3.1016366165680163
abalone,2,NNET,Hardness-RO,9.218104604677245,2.0287851242939534
abalone,2,XGB,Original,5.300401210784912,1.7025607824325562
abalone,2,XGB,RO,5.562098026275635,1.7425662279129028
abalone,2,XGB,Hardness-RO,5.382485389709473,1.7031028270721436
abalone,2,RF,Original,4.670580023923445,1.5973325358851673
abalone,2,RF,RO,5.108270215311005,1.681925837320574
abalone,2,RF,Hardness-RO,4.5545541866028705,1.5641746411483253
abalone,2,BAGGING,Original,5.070311004784688,1.6645933014354066
abalone,2,BAGGING,RO,5.85444976076555,1.7839712918660287
abalone,2,BAGGING,Hardness-RO,4.848684210526316,1.6136363636363635
abalone,3,SVR,Original,8.6629353085317,1.9472002029308577
abalone,3,SVR,RO,8.51480293120799,2.0922898625390207
abalone,3,SVR,Hardness-RO,8.851629465640844,1.9867841064349567
abalone,3,NNET,Original,9.859814728681833,2.361425174998415
abalone,3,NNET,RO,11.339032307727887,2.4032866473115853
abalone,3,NNET,Hardness-RO,10.563090908728247,2.317341999952436
abalone,3,XGB,Original,5.658883571624756,1.6849831342697144
abalone,3,XGB,RO,5.908914089202881,1.8020721673965454
abalone,3,XGB,Hardness-RO,5.79084587097168,1.7149244546890259
abalone,3,RF,Original,5.607441077844311,1.6646586826347303
abalone,3,RF,RO,5.688651856287425,1.7061916167664672
abalone,3,RF,Hardness-RO,5.684074491017964,1.666874251497006
abalone,3,BAGGING,Original,5.988467065868265,1.722994011976048
abalone,3,BAGGING,RO,6.086610778443114,1.7604790419161678
abalone,3,BAGGING,Hardness-RO,6.0356766467065865,1.706946107784431
abalone,4,SVR,Original,8.869635996597726,2.004148101734641
abalone,4,SVR,RO,8.586180247367972,2.1108631611354682
abalone,4,SVR,Hardness-RO,9.280933911862645,2.034682391908984
abalone,4,NNET,Original,10.82626275948681,2.4968795554721317
abalone,4,NNET,RO,11.546392681773208,2.5113888731078107
abalone,4,NNET,Hardness-RO,10.27297579125309,2.275075616114293
abalone,4,XGB,Original,6.446140766143799,1.8089317083358765
abalone,4,XGB,RO,6.441720962524414,1.825072169303894
abalone,4,XGB,Hardness-RO,6.3946027755737305,1.7832129001617432
abalone,4,RF,Original,5.902061796407186,1.6957365269461078
abalone,4,RF,RO,5.995048622754491,1.7467305389221557
abalone,4,RF,Hardness-RO,6.011657245508982,1.7333892215568865
abalone,4,BAGGING,Original,6.458215568862276,1.7852694610778443
abalone,4,BAGGING,RO,6.7023832335329345,1.8695808383233532
abalone,4,BAGGING,Hardness-RO,6.699580838323353,1.8453892215568863
abalone,5,SVR,Original,6.5371553124831525,1.7808229065207004
abalone,5,SVR,RO,7.089627777901628,1.9854942159741085
abalone,5,SVR,Hardness-RO,6.675464581978352,1.7768232045527932
abalone,5,NNET,Original,8.159344102468424,2.176221811611287
abalone,5,NNET,RO,9.933298050843995,2.3810083575382457
abalone,5,NNET,Hardness-RO,10.651197128145814,2.403574563646996
abalone,5,XGB,Original,4.989918231964111,1.637303352355957
abalone,5,XGB,RO,4.883697032928467,1.6250529289245605
abalone,5,XGB,Hardness-RO,4.7098798751831055,1.6190687417984009
abalone,5,RF,Original,4.469524910179642,1.5595808383233534
abalone,5,RF,RO,4.769656167664671,1.6230538922155688
abalone,5,RF,Hardness-RO,4.416494491017964,1.5425748502994012
abalone,5,BAGGING,Original,4.828790419161677,1.6172455089820357
abalone,5,BAGGING,RO,5.414790419161677,1.731137724550898
abalone,5,BAGGING,Hardness-RO,4.9471017964071855,1.6506586826347303
acceleration,1,SVR,Original,8.372321049350688,2.0725949443821503
acceleration,1,SVR,RO,11.629764622070102,2.6452673461668383
acceleration,1,SVR,Hardness-RO,8.069243682664768,2.0189890214562696
acceleration,1,NNET,Original,1089.0283544794133,9.80701950433356
acceleration,1,NNET,RO,904.5029682598133,11.368109910125472
acceleration,1,NNET,Hardness-RO,1075.323236207396,8.006577578769775
acceleration,1,XGB,Original,0.47769300664655,0.46980180822806683
acceleration,1,XGB,RO,0.5270629673788865,0.48762084262858896
acceleration,1,XGB,Hardness-RO,0.4963685779310667,0.4901284349754839
acceleration,1,RF,Original,0.6463785667829415,0.5754036263208457
acceleration,1,RF,RO,0.6664046203630731,0.5734246878001926
acceleration,1,RF,Hardness-RO,0.6741196273840586,0.5791680092402
acceleration,1,BAGGING,Original,0.7758114220300992,0.6179260326609028
acceleration,1,BAGGING,RO,0.6923550446979945,0.5790798682585426
acceleration,1,BAGGING,Hardness-RO,0.6882324127441565,0.5917291066282423
acceleration,2,SVR,Original,8.05144177413021,2.0804220922838317
acceleration,2,SVR,RO,12.531484894725983,2.766472759693614
acceleration,2,SVR,Hardness-RO,7.803611991296185,2.0554709840687186
acceleration,2,NNET,Original,113.69885433529099,8.457937312555707
acceleration,2,NNET,RO,125.31477647840462,7.610372467483054
acceleration,2,NNET,Hardness-RO,43.57983433585061,4.583877634310214
acceleration,2,XGB,Original,0.5169692763707187,0.4756945266503766
acceleration,2,XGB,RO,0.4989488171047702,0.48444466329788965
acceleration,2,XGB,Hardness-RO,0.48902737341043995,0.4807425086711257
acceleration,2,RF,Original,0.5766986337385723,0.5432167490050769
acceleration,2,RF,RO,0.5933718364985762,0.5423093111019629
acceleration,2,RF,Hardness-RO,0.6165947167662896,0.5538491285851513
acceleration,2,BAGGING,Original,0.670008533461415,0.5966666666666665
acceleration,2,BAGGING,RO,0.6660874239513287,0.5935398655139289
acceleration,2,BAGGING,Hardness-RO,0.6958870599306006,0.5827599835323178
acceleration,3,SVR,Original,6.988455828706311,2.041026360539775
acceleration,3,SVR,RO,8.813663934545167,2.467945735370641
acceleration,3,SVR,Hardness-RO,6.846063528104911,1.9989764412876219
acceleration,3,NNET,Original,115.28607597632349,6.577051805929178
acceleration,3,NNET,RO,159.38508666038382,10.49439435459251
acceleration,3,NNET,Hardness-RO,106.43934270844233,7.269447485081882
acceleration,3,XGB,Original,0.48093142927463156,0.4655574459561034
acceleration,3,XGB,RO,0.4262653489509818,0.45339048032815743
acceleration,3,XGB,Hardness-RO,0.5210195312507603,0.4872302215223367
acceleration,3,RF,Original,0.5452436298900128,0.52746297137352
acceleration,3,RF,RO,0.5696491671870944,0.5319672898776183
acceleration,3,RF,Hardness-RO,0.5387635112193947,0.5248353908615467
acceleration,3,BAGGING,Original,0.6206601356775849,0.5549238921001927
acceleration,3,BAGGING,RO,0.6184497528265173,0.5395841855639544
acceleration,3,BAGGING,Hardness-RO,0.6456333733275823,0.5592200316542801
acceleration,4,SVR,Original,9.475986103380409,2.002516072535503
acceleration,4,SVR,RO,12.061991811127301,2.733573131277216
acceleration,4,SVR,Hardness-RO,9.270645895618003,1.9788950941500902
acceleration,4,NNET,Original,3068.9532259148373,8.300537157556846
acceleration,4,NNET,RO,3353.246401387951,13.50575505318045
acceleration,4,NNET,Hardness-RO,2535.233359797059,14.64311402495824
acceleration,4,XGB,Original,0.7174969199272623,0.47639806697823417
acceleration,4,XGB,RO,0.7960501180523978,0.48093475165394695
acceleration,4,XGB,Hardness-RO,0.7029976903142945,0.47135567692662944
acceleration,4,RF,Original,0.8762786347149972,0.5530925337186902
acceleration,4,RF,RO,0.9646474142269528,0.5503522647872366
acceleration,4,RF,Hardness-RO,0.7200898153156096,0.5368948227110083
acceleration,4,BAGGING,Original,0.9747679842646113,0.5942244701348749
acceleration,4,BAGGING,RO,1.0189602021069721,0.5672734425176623
acceleration,4,BAGGING,Hardness-RO,0.7886439095411768,0.5476737544728876
acceleration,5,SVR,Original,10.254424320904002,2.239348133491399
acceleration,5,SVR,RO,13.201179768823668,2.7743011102830946
acceleration,5,SVR,Hardness-RO,9.903752216603989,2.1790942866064245
acceleration,5,NNET,Original,152.0451313191136,5.07190423366816
acceleration,5,NNET,RO,184.4276655931693,6.888467762441517
acceleration,5,NNET,Hardness-RO,128.4971552567429,5.517011568076976
acceleration,5,XGB,Original,0.6595672016468457,0.505378960047154
acceleration,5,XGB,RO,0.7217784538189911,0.519401602937996
acceleration,5,XGB,Hardness-RO,0.7794737548671021,0.5483489689799402
acceleration,5,RF,Original,0.6847396124269761,0.5577968414533443
acceleration,5,RF,RO,0.6900666530242371,0.5577216952217382
acceleration,5,RF,Hardness-RO,0.7137176037896873,0.552900092898431
acceleration,5,BAGGING,Original,0.8251225083493897,0.6173709055876686
acceleration,5,BAGGING,RO,0.7823666873387224,0.6015701052319549
acceleration,5,BAGGING,Hardness-RO,0.7312263879254979,0.5732177263969171
airfoild,1,SVR,Original,1279686769.0432072,15171.823051157571
airfoild,1,SVR,RO,1210090507.541533,16026.440086338725
airfoild,1,SVR,Hardness-RO,1301785062.0314217,15236.61609763503
airfoild,1,NNET,Original,2288760173.981468,38085.35135332025
airfoild,1,NNET,RO,3041582354.57867,49269.717687101955
airfoild,1,NNET,Hardness-RO,2280104589.3444057,37480.15055800695
airfoild,1,XGB,Original,6097903.2772468375,1331.3201412299782
airfoild,1,XGB,RO,3074756.7230212516,1200.26236336236
