Dataset,Fold,Model,Versao,MSE,MAE
a3,1,BAGGING,Hardness-RO,89.88771589933954,6.376802077079269
a3,2,SVR,Original,51.099852441091336,3.526251856373945
a3,2,SVR,RO,65.40465469243148,6.772003201214071
a3,2,SVR,Hardness-RO,51.94121398843274,3.564374396218656
a3,2,NNET,Original,158456.5570716448,161.44778706816538
a3,2,NNET,RO,242585.8937492128,235.51769255494037
a3,2,NNET,Hardness-RO,154487.97917415993,179.63474190389567
a3,2,XGB,Original,47.448421983825725,4.512273826543241
a3,2,XGB,RO,72.67765082279455,6.607032805979252
a3,2,XGB,Hardness-RO,73.05627455064186,5.795436777932336
a3,2,RF,Original,46.57295487500001,4.649275
a3,2,RF,RO,74.19083229202383,6.972495766352488
a3,2,RF,Hardness-RO,48.077598147505554,4.77500572326303
a3,2,BAGGING,Original,47.355517500000005,4.87425
a3,2,BAGGING,RO,82.37392685855056,6.931184060064074
a3,2,BAGGING,Hardness-RO,46.23625469851949,4.445693090098633
a3,3,SVR,Original,52.86572539900662,4.468083746659955
a3,3,SVR,RO,58.56023442630978,6.271935529437551
a3,3,SVR,Hardness-RO,46.168576808815644,4.484173981444779
a3,3,NNET,Original,456863.9419584859,202.0407296267963
a3,3,NNET,RO,1228352.780694204,378.8698126223101
a3,3,NNET,Hardness-RO,553569.3500657609,231.68913776206955
a3,3,XGB,Original,82.32161203266308,6.3858657626062625
a3,3,XGB,RO,72.44610252226717,6.895201840698718
a3,3,XGB,Hardness-RO,51.49092967073061,5.049659957140683
a3,3,RF,Original,57.411789875,5.521625
a3,3,RF,RO,67.98282677172836,6.378017571731883
a3,3,RF,Hardness-RO,50.0970560679606,4.93666363072621
a3,3,BAGGING,Original,54.42516500000001,5.361
a3,3,BAGGING,RO,70.828354352292,6.8134249302742145
a3,3,BAGGING,Hardness-RO,55.12088101007684,4.773854122060228
a3,4,SVR,Original,32.528423620410166,3.22771889420432
a3,4,SVR,RO,42.818815909103506,5.321820645326758
a3,4,SVR,Hardness-RO,33.11426687861436,3.3516068794578793
a3,4,NNET,Original,399446.6482073788,214.1368637652896
a3,4,NNET,RO,5616926.169421983,1411.4056530081232
a3,4,NNET,Hardness-RO,316889.84650927613,200.4093885141237
a3,4,XGB,Original,52.283033284747155,4.919798816769169
a3,4,XGB,RO,57.6156645857277,5.755141803775078
a3,4,XGB,Hardness-RO,42.365420578803445,4.386820745238891
a3,4,RF,Original,47.700331666666656,4.915358974358973
a3,4,RF,RO,59.62583716988875,5.815690733116452
a3,4,RF,Hardness-RO,43.534382960908914,4.507909536842568
a3,4,BAGGING,Original,45.56156410256411,4.783076923076923
a3,4,BAGGING,RO,71.85245705854464,6.457365909790972
a3,4,BAGGING,Hardness-RO,51.82923493214921,4.953816064643792
a3,5,SVR,Original,40.62311140174397,3.8198816048523305
a3,5,SVR,RO,39.64806300035963,5.237730705145388
a3,5,SVR,Hardness-RO,42.392238238107005,3.941932146225271
a3,5,NNET,Original,122244.90439402123,162.21288280764333
a3,5,NNET,RO,137057.53090948466,181.8293681115728
a3,5,NNET,Hardness-RO,181259.43839787052,187.58234973612338
a3,5,XGB,Original,78.82732590785015,5.506724788592411
a3,5,XGB,RO,81.03935644826933,5.632280355997575
a3,5,XGB,Hardness-RO,38.091095954770246,4.198198529772268
a3,5,RF,Original,45.81172628205126,4.3263846153846135
a3,5,RF,RO,58.77683495388666,5.04187097396066
a3,5,RF,Hardness-RO,32.25389828825625,3.696613996686501
a3,5,BAGGING,Original,74.56359230769232,5.706410256410257
